id,statcode,statnaam,jrstatcode,rubriek,id_2,LEVL_CODE,NUTS_ID,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID,freq,sex,unit,age,geo\TIME_PERIOD,2014,2015,2016,2017,2018,2019
cbs_gemeente_2020_labelpoint.60,GM0222,Doetinchem,2020GM0222,gemeente,NL225,"3",NL225,NL,Achterhoek,Achterhoek,"4","2","3",NL225,A,T,NR,TOTAL,NL225,"399707 ","398772 ","399260 ","399921 ","400416 ","400685 "
cbs_gemeente_2020_labelpoint.61,GM0225,Druten,2020GM0225,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.62,GM0226,Duiven,2020GM0226,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.63,GM0228,Ede,2020GM0228,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.64,GM0230,Elburg,2020GM0230,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.65,GM0232,Epe,2020GM0232,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.66,GM0233,Ermelo,2020GM0233,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.67,GM1960,West Betuwe,2020GM1960,gemeente,NL224,"3",NL224,NL,Zuidwest-Gelderland,Zuidwest-Gelderland,"4","2","3",NL224,A,T,NR,TOTAL,NL224,"237076 ","237548 ","238305 ","239890 ","241244 ","244052 "
cbs_gemeente_2020_labelpoint.68,GM1945,Berg en Dal,2020GM1945,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.69,GM0243,Harderwijk,2020GM0243,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.70,GM0244,Hattem,2020GM0244,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.71,GM0246,Heerde,2020GM0246,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.72,GM0252,Heumen,2020GM0252,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.73,GM0262,Lochem,2020GM0262,gemeente,NL225,"3",NL225,NL,Achterhoek,Achterhoek,"4","2","3",NL225,A,T,NR,TOTAL,NL225,"399707 ","398772 ","399260 ","399921 ","400416 ","400685 "
cbs_gemeente_2020_labelpoint.74,GM0263,Maasdriel,2020GM0263,gemeente,NL224,"3",NL224,NL,Zuidwest-Gelderland,Zuidwest-Gelderland,"4","2","3",NL224,A,T,NR,TOTAL,NL224,"237076 ","237548 ","238305 ","239890 ","241244 ","244052 "
cbs_gemeente_2020_labelpoint.75,GM0267,Nijkerk,2020GM0267,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.76,GM0268,Nijmegen,2020GM0268,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.77,GM0269,Oldebroek,2020GM0269,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.78,GM0273,Putten,2020GM0273,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.79,GM0274,Renkum,2020GM0274,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
